empresa;codigoarticulo;codigoparticular;articulo;rubro;costo;preciopublico;marca;superrubro;gruposuperrubro;familia;ult_fechaingreso;color;silueta;sitioparapublicar;porcentajedescuento;web
Construmax;158;286865959-4;Cinta métrica Modelo 892;Herramientas Eléctricas;50.39;94.11;FixMaster;Hogar;Medición;Acero;7/9/2024;Azul;Cinta métrica;;;
Construmax;159;111219021-X;Casco de seguridad Modelo 512;Herramientas Manuales;392.36;639.65;FerroMax;Profesional;Neumática;Acero;20/8/2024;Blanco;Casco de seguridad;;;
MaxPro SRL;160;294112295-8;Tornillos Modelo 866;Herramientas Manuales;472.64;929.6;Construtek;Profesional;Manual;Aluminio;2/8/2024;Amarillo;Tornillos;;;
MaxPro SRL;161;265589120-1;Espátula Modelo 658;Fijaciones y Anclajes;112.87;143.76;Renova;Hogar;Medición;Acero;30/7/2024;Blanco;Espátula;;17.0;
Construmax;162;082198012-2;Cutter Modelo 271;Accesorios de Construcción;437.33;720.12;FixMaster;Hogar;Eléctrica;Aluminio;14/4/2024;Azul;Cutter;;;
MaxPro SRL;163;416594853-5;Sierra Modelo 715;Fijaciones y Anclajes;206.91;409.11;BuildPro;Profesional;Eléctrica;Acero;10/4/2024;Rojo;Sierra;;;
Construmax;164;733253289-1;Cutter Modelo 858;Accesorios de Construcción;438.19;737.73;FerroMax;Hogar;Medición;Aluminio;17/1/2024;Azul;Cutter;;;
MaxPro SRL;165;089837862-1;Clavos Modelo 406;Equipos de Seguridad;355.47;481.22;Structo;Profesional;Seguridad;Goma;25/9/2024;Blanco;Clavos;;31.0;
Construmax;166;811681489-3;Taladro Modelo 838;Herramientas Eléctricas;370.03;551.86;TitanTools;Profesional;Neumática;Goma;9/5/2024;Azul;Taladro;;;
MaxPro SRL;167;904294916-3;Sierra Modelo 439;Accesorios de Construcción;257.87;498.97;Structo;Profesional;Manual;Goma;18/11/2024;Naranja;Sierra;;;
MaxPro SRL;168;241848447-5;Cutter Modelo 179;Herramientas Eléctricas;362.96;598.89;HardyWorks;Hogar;Neumática;Madera;13/3/2024;Verde;Cutter;;7.0;
MaxPro SRL;169;452127711-X;Cutter Modelo 916;Herramientas Eléctricas;198.69;372.29;MegaTool;Profesional;Manual;Madera;29/4/2024;Naranja;Cutter;;;
Construmax;170;090523587-8;Espátula Modelo 468;Accesorios de Construcción;192.17;340.58;TitanTools;Profesional;Seguridad;Acero;27/5/2024;Rojo;Espátula;;;
Construmax;171;584235017-3;Cutter Modelo 891;Herramientas Manuales;109.56;206.01;HardyWorks;Profesional;Seguridad;Madera;4/10/2024;Azul;Cutter;;;
MaxPro SRL;172;294637545-5;Martillo Modelo 452;Equipos de Seguridad;166.37;209.27;TitanTools;Hogar;Neumática;Plástico;9/1/2024;Gris;Martillo;;;
MaxPro SRL;173;683546279-5;Brocas Modelo 972;Equipos de Seguridad;362.48;493.96;FerroMax;Profesional;Medición;Plástico;20/10/2024;Blanco;Brocas;;46.0;
Construmax;174;560666449-6;Nivel Modelo 157;Fijaciones y Anclajes;453.17;867.25;BuildPro;Profesional;Eléctrica;Madera;5/12/2024;Naranja;Nivel;;18.0;
MaxPro SRL;175;637016159-4;Espátula Modelo 327;Fijaciones y Anclajes;423.43;762.18;PowerFix;Hogar;Neumática;Madera;9/5/2024;Rojo;Espátula;;;
MaxPro SRL;176;733531783-5;Destornillador Modelo 418;Herramientas Manuales;497.84;812.57;Construtek;Profesional;Manual;Aluminio;28/4/2024;Naranja;Destornillador;;;
Construmax;177;180730720-4;Casco de seguridad Modelo 212;Equipos de Seguridad;108.55;190.09;FerroMax;Hogar;Manual;Madera;30/8/2024;Gris;Casco de seguridad;;;
Construmax;178;250349891-4;Guantes Modelo 605;Herramientas Eléctricas;28.96;45.49;FixMaster;Profesional;Neumática;Acero;16/5/2024;Gris;Guantes;;;
Construmax;179;076768216-5;Brocas Modelo 482;Fijaciones y Anclajes;32.63;50.56;HardyWorks;Profesional;Medición;Goma;23/7/2024;Negro;Brocas;;;
Construmax;180;692162784-5;Pinza Modelo 874;Herramientas Eléctricas;484.36;875.7;PowerFix;Hogar;Manual;Goma;16/4/2024;Gris;Pinza;;;
MaxPro SRL;181;782575938-9;Cutter Modelo 487;Herramientas Manuales;47.53;85.58;FerroMax;Hogar;Manual;Goma;21/11/2024;Negro;Cutter;;;
Construmax;182;958685479-5;Cinta métrica Modelo 501;Herramientas Manuales;367.82;705.12;Renova;Hogar;Neumática;Acero;7/2/2024;Amarillo;Cinta métrica;;;
MaxPro SRL;183;817121714-1;Espátula Modelo 705;Herramientas Eléctricas;480.45;833.2;Structo;Profesional;Manual;Goma;12/11/2024;Blanco;Espátula;;;
Construmax;184;244669424-1;Clavos Modelo 988;Herramientas Eléctricas;377.59;720.45;PowerFix;Hogar;Seguridad;Acero;31/7/2024;Blanco;Clavos;;;
MaxPro SRL;185;386884884-3;Taladro Modelo 647;Accesorios de Construcción;234.97;360.92;Construtek;Hogar;Medición;Goma;8/3/2024;Blanco;Taladro;;47.0;
MaxPro SRL;186;408419913-3;Destornillador Modelo 854;Herramientas Manuales;80.02;121.14;Renova;Hogar;Manual;Plástico;28/9/2024;Rojo;Destornillador;;;
MaxPro SRL;187;078681284-2;Cinta métrica Modelo 941;Fijaciones y Anclajes;336.1;587.03;BuildPro;Profesional;Manual;Goma;27/5/2024;Negro;Cinta métrica;;;
MaxPro SRL;188;823721074-3;Clavos Modelo 353;Herramientas Manuales;326.75;500.57;TitanTools;Profesional;Manual;Plástico;25/12/2024;Gris;Clavos;;42.0;
MaxPro SRL;189;857158547-4;Sierra Modelo 649;Accesorios de Construcción;10.95;16.58;FixMaster;Hogar;Seguridad;Aluminio;28/12/2024;Amarillo;Sierra;;;
Construmax;190;872281501-5;Martillo Modelo 201;Equipos de Seguridad;282.33;413.71;MegaTool;Profesional;Eléctrica;Goma;16/6/2024;Rojo;Martillo;;;
MaxPro SRL;191;726699571-X;Sierra Modelo 861;Equipos de Seguridad;349.74;690.89;TitanTools;Hogar;Neumática;Acero;30/3/2024;Blanco;Sierra;;;
MaxPro SRL;192;866465702-5;Brocas Modelo 604;Accesorios de Construcción;343.08;665.08;Structo;Profesional;Neumática;Plástico;11/3/2024;Amarillo;Brocas;;;
Construmax;193;405845895-X;Cinta métrica Modelo 337;Accesorios de Construcción;385.47;723.82;HardyWorks;Profesional;Seguridad;Goma;12/9/2024;Azul;Cinta métrica;;;
Construmax;194;273437459-5;Martillo Modelo 742;Fijaciones y Anclajes;323.84;626.67;BuildPro;Profesional;Seguridad;Aluminio;10/11/2024;Gris;Martillo;;;
Construmax;195;193712548-3;Destornillador Modelo 511;Herramientas Manuales;391.28;638.67;Renova;Profesional;Medición;Madera;9/2/2024;Naranja;Destornillador;;18.0;
Construmax;196;907541846-9;Brocas Modelo 386;Equipos de Seguridad;383.49;523.32;TitanTools;Profesional;Neumática;Goma;23/12/2024;Verde;Brocas;;2.0;
MaxPro SRL;197;890285899-5;Cinta métrica Modelo 811;Fijaciones y Anclajes;441.36;816.39;MegaTool;Profesional;Eléctrica;Goma;9/8/2024;Azul;Cinta métrica;;;
MaxPro SRL;198;269135979-4;Taladro Modelo 354;Herramientas Manuales;254.49;352.77;Renova;Profesional;Neumática;Aluminio;27/10/2024;Negro;Taladro;;;
Construmax;199;606173966-4;Cutter Modelo 218;Accesorios de Construcción;91.9;171.92;FixMaster;Profesional;Neumática;Plástico;1/11/2024;Azul;Cutter;;;
Construmax;200;399803642-3;Taladro Modelo 105;Herramientas Eléctricas;418.66;606.85;MegaTool;Hogar;Medición;Goma;9/3/2024;Amarillo;Taladro;;19.0;
Construmax;201;755977124-6;Nivel Modelo 645;Equipos de Seguridad;60.34;77.42;Structo;Hogar;Neumática;Goma;17/1/2024;Naranja;Nivel;;;
MaxPro SRL;202;553442318-8;Sierra Modelo 555;Fijaciones y Anclajes;248.5;473.27;Construtek;Profesional;Eléctrica;Aluminio;3/11/2024;Rojo;Sierra;;18.0;
MaxPro SRL;203;087252351-9;Clavos Modelo 396;Herramientas Manuales;169.49;324.01;HardyWorks;Profesional;Manual;Goma;13/9/2024;Rojo;Clavos;;;
MaxPro SRL;204;420360169-X;Brocas Modelo 379;Fijaciones y Anclajes;315.15;437.42;Structo;Profesional;Eléctrica;Plástico;9/11/2024;Gris;Brocas;;;
MaxPro SRL;205;827913321-6;Cinta métrica Modelo 786;Fijaciones y Anclajes;113.91;214.62;TitanTools;Hogar;Eléctrica;Aluminio;5/4/2024;Gris;Cinta métrica;;;
MaxPro SRL;206;141168682-9;Sierra Modelo 622;Fijaciones y Anclajes;84.67;168.22;Structo;Hogar;Manual;Madera;17/1/2024;Gris;Sierra;;42.0;
Construmax;207;506973277-3;Clavos Modelo 340;Fijaciones y Anclajes;280.13;413.37;PowerFix;Hogar;Manual;Aluminio;11/8/2024;Naranja;Clavos;;;
Construmax;208;146611950-0;Tornillos Modelo 357;Herramientas Manuales;21.42;34.98;HardyWorks;Hogar;Manual;Madera;26/4/2024;Azul;Tornillos;;;
MaxPro SRL;209;010331096-7;Nivel Modelo 498;Accesorios de Construcción;181.08;275.32;Structo;Profesional;Manual;Acero;23/6/2024;Azul;Nivel;;;
Construmax;210;757998331-1;Llave inglesa Modelo 296;Accesorios de Construcción;449.65;795.97;Structo;Profesional;Eléctrica;Aluminio;17/5/2024;Amarillo;Llave inglesa;;6.0;
MaxPro SRL;211;035863496-2;Taladro Modelo 961;Fijaciones y Anclajes;196.76;379.12;Renova;Profesional;Manual;Plástico;5/4/2024;Negro;Taladro;;;
MaxPro SRL;212;779521854-7;Brocas Modelo 468;Fijaciones y Anclajes;151.86;293.48;TitanTools;Hogar;Medición;Acero;25/10/2024;Amarillo;Brocas;;36.0;
Construmax;213;525542426-9;Espátula Modelo 263;Accesorios de Construcción;237.32;448.04;BuildPro;Profesional;Eléctrica;Goma;11/7/2024;Amarillo;Espátula;;42.0;
Construmax;214;893908967-7;Llave inglesa Modelo 135;Herramientas Eléctricas;445.23;590.68;PowerFix;Profesional;Medición;Madera;15/8/2024;Azul;Llave inglesa;;;
Construmax;215;517918994-2;Casco de seguridad Modelo 964;Herramientas Eléctricas;365.95;575.67;FerroMax;Profesional;Neumática;Plástico;19/12/2024;Rojo;Casco de seguridad;;;
Construmax;216;693942575-6;Cinta métrica Modelo 373;Herramientas Eléctricas;271.83;338.38;Construtek;Hogar;Manual;Goma;8/3/2024;Rojo;Cinta métrica;;;
Construmax;217;303877799-4;Brocas Modelo 395;Herramientas Manuales;195.01;300.12;FixMaster;Hogar;Medición;Goma;27/10/2024;Rojo;Brocas;;;
Construmax;218;011441883-7;Llave inglesa Modelo 528;Herramientas Manuales;328.7;570.17;TitanTools;Hogar;Manual;Goma;5/1/2024;Gris;Llave inglesa;;;
MaxPro SRL;219;891038288-0;Brocas Modelo 949;Herramientas Eléctricas;78.92;139.42;HardyWorks;Hogar;Eléctrica;Plástico;24/1/2024;Gris;Brocas;;;
Construmax;220;293954879-X;Casco de seguridad Modelo 539;Accesorios de Construcción;254.68;492.53;HardyWorks;Profesional;Manual;Acero;27/3/2024;Rojo;Casco de seguridad;;;
MaxPro SRL;221;192941076-X;Llave inglesa Modelo 638;Herramientas Eléctricas;99.53;186.15;FixMaster;Hogar;Seguridad;Madera;19/7/2024;Naranja;Llave inglesa;;;
MaxPro SRL;222;873786338-X;Destornillador Modelo 880;Fijaciones y Anclajes;20.4;31.55;FixMaster;Profesional;Manual;Acero;13/6/2024;Gris;Destornillador;;10.0;
MaxPro SRL;223;643045678-1;Cinta métrica Modelo 243;Fijaciones y Anclajes;51.46;70.43;FerroMax;Hogar;Seguridad;Goma;31/1/2024;Verde;Cinta métrica;;35.0;
Construmax;224;421694389-6;Martillo Modelo 199;Equipos de Seguridad;284.44;367.71;Construtek;Profesional;Seguridad;Aluminio;27/1/2024;Verde;Martillo;;;
MaxPro SRL;225;073619468-1;Guantes Modelo 215;Fijaciones y Anclajes;134.24;192.55;FixMaster;Hogar;Seguridad;Plástico;8/9/2024;Gris;Guantes;;;
Construmax;226;834697427-2;Taladro Modelo 437;Fijaciones y Anclajes;370.0;468.76;MegaTool;Profesional;Medición;Plástico;17/2/2024;Negro;Taladro;;;
Construmax;227;454621536-3;Espátula Modelo 244;Accesorios de Construcción;266.81;394.93;TitanTools;Profesional;Manual;Aluminio;6/5/2024;Amarillo;Espátula;;;
MaxPro SRL;228;251347423-6;Tornillos Modelo 795;Accesorios de Construcción;303.36;386.87;Renova;Hogar;Eléctrica;Plástico;10/5/2024;Negro;Tornillos;;;
MaxPro SRL;229;221780082-5;Casco de seguridad Modelo 323;Herramientas Eléctricas;452.07;564.32;Construtek;Profesional;Manual;Goma;10/8/2024;Azul;Casco de seguridad;;;
Construmax;230;903227982-3;Taladro Modelo 561;Accesorios de Construcción;347.22;567.35;MegaTool;Hogar;Manual;Acero;11/6/2024;Negro;Taladro;;;
MaxPro SRL;231;018637083-0;Brocas Modelo 952;Accesorios de Construcción;445.28;719.65;Structo;Hogar;Seguridad;Acero;24/12/2024;Gris;Brocas;;1.0;
MaxPro SRL;232;119732759-2;Cinta métrica Modelo 130;Fijaciones y Anclajes;449.03;546.47;Construtek;Profesional;Eléctrica;Goma;23/1/2024;Naranja;Cinta métrica;;15.0;
MaxPro SRL;233;747972270-2;Tornillos Modelo 693;Equipos de Seguridad;234.33;425.95;BuildPro;Hogar;Eléctrica;Aluminio;3/3/2024;Verde;Tornillos;;6.0;
Construmax;234;738040988-3;Martillo Modelo 138;Herramientas Manuales;435.74;582.93;FerroMax;Profesional;Neumática;Goma;3/10/2024;Blanco;Martillo;;;
MaxPro SRL;235;252218719-8;Tornillos Modelo 145;Herramientas Manuales;125.39;192.07;Renova;Profesional;Medición;Plástico;1/5/2024;Naranja;Tornillos;;;
Construmax;236;508506783-5;Llave inglesa Modelo 408;Fijaciones y Anclajes;360.58;540.72;TitanTools;Hogar;Medición;Plástico;13/3/2024;Blanco;Llave inglesa;;31.0;
Construmax;237;066958807-5;Tornillos Modelo 962;Equipos de Seguridad;397.28;747.94;BuildPro;Hogar;Medición;Aluminio;6/2/2024;Naranja;Tornillos;;;
Construmax;238;493585085-X;Tornillos Modelo 784;Herramientas Eléctricas;443.57;701.96;FerroMax;Hogar;Seguridad;Acero;14/2/2024;Azul;Tornillos;;;
Construmax;239;128849286-3;Cinta métrica Modelo 761;Herramientas Manuales;409.63;615.23;BuildPro;Hogar;Manual;Plástico;18/8/2024;Azul;Cinta métrica;;;
Construmax;240;927933185-X;Espátula Modelo 139;Equipos de Seguridad;188.33;294.66;MegaTool;Hogar;Seguridad;Acero;26/6/2024;Negro;Espátula;;;
Construmax;241;617810821-4;Sierra Modelo 796;Herramientas Manuales;183.84;293.66;MegaTool;Hogar;Medición;Goma;6/5/2024;Amarillo;Sierra;;;
Construmax;242;978047537-0;Pinza Modelo 428;Fijaciones y Anclajes;192.52;363.46;Renova;Profesional;Medición;Madera;29/6/2024;Rojo;Pinza;;;
MaxPro SRL;243;430731306-2;Sierra Modelo 535;Herramientas Eléctricas;101.83;140.21;HardyWorks;Profesional;Neumática;Goma;11/2/2024;Verde;Sierra;;;
Construmax;244;060923148-0;Nivel Modelo 910;Equipos de Seguridad;478.22;578.95;Structo;Hogar;Neumática;Acero;6/10/2024;Blanco;Nivel;;;
MaxPro SRL;245;295532841-3;Brocas Modelo 179;Herramientas Eléctricas;242.6;359.71;MegaTool;Hogar;Medición;Plástico;19/3/2024;Blanco;Brocas;;;
Construmax;246;608854697-2;Cutter Modelo 279;Accesorios de Construcción;269.07;424.91;Construtek;Profesional;Eléctrica;Aluminio;10/3/2024;Naranja;Cutter;;21.0;
MaxPro SRL;247;923104552-0;Sierra Modelo 944;Herramientas Manuales;215.37;322.64;TitanTools;Hogar;Medición;Goma;6/10/2024;Rojo;Sierra;;;
Construmax;248;405532765-X;Pinza Modelo 638;Equipos de Seguridad;60.17;111.82;TitanTools;Hogar;Seguridad;Madera;20/5/2024;Naranja;Pinza;;;
Construmax;249;418724456-5;Pinza Modelo 928;Herramientas Eléctricas;268.25;456.38;MegaTool;Profesional;Seguridad;Plástico;5/5/2024;Amarillo;Pinza;;;
Construmax;250;572966901-1;Sierra Modelo 686;Fijaciones y Anclajes;396.99;520.44;HardyWorks;Hogar;Manual;Acero;3/1/2024;Gris;Sierra;;;
Construmax;251;327794334-8;Cutter Modelo 136;Equipos de Seguridad;258.43;386.11;FixMaster;Hogar;Manual;Acero;8/10/2024;Amarillo;Cutter;;;
Construmax;252;541686114-2;Taladro Modelo 746;Herramientas Manuales;242.45;378.36;FixMaster;Hogar;Neumática;Plástico;26/9/2024;Azul;Taladro;;;
Construmax;253;997971905-2;Martillo Modelo 761;Equipos de Seguridad;150.33;215.48;HardyWorks;Hogar;Seguridad;Goma;12/6/2024;Blanco;Martillo;;;
MaxPro SRL;254;538835080-0;Taladro Modelo 357;Herramientas Eléctricas;318.54;383.15;HardyWorks;Profesional;Manual;Aluminio;24/5/2024;Rojo;Taladro;;;
Construmax;255;620213185-3;Destornillador Modelo 865;Herramientas Eléctricas;295.91;395.95;Structo;Profesional;Eléctrica;Acero;22/12/2024;Gris;Destornillador;;24.0;
MaxPro SRL;256;119756408-X;Clavos Modelo 823;Herramientas Manuales;354.63;660.16;Renova;Hogar;Neumática;Madera;27/10/2024;Naranja;Clavos;;2.0;
Construmax;257;371248956-0;Cutter Modelo 115;Fijaciones y Anclajes;218.29;267.78;FerroMax;Hogar;Seguridad;Aluminio;23/12/2024;Negro;Cutter;;;
MaxPro SRL;258;585021356-2;Casco de seguridad Modelo 663;Equipos de Seguridad;42.23;82.79;Renova;Hogar;Neumática;Acero;30/5/2024;Naranja;Casco de seguridad;;;
Construmax;259;763363258-5;Destornillador Modelo 307;Herramientas Manuales;402.8;495.68;HardyWorks;Profesional;Eléctrica;Madera;17/1/2024;Gris;Destornillador;;;
Construmax;260;892480164-3;Clavos Modelo 902;Herramientas Eléctricas;94.58;120.75;Structo;Profesional;Neumática;Acero;30/11/2024;Rojo;Clavos;;;
MaxPro SRL;261;957738886-8;Destornillador Modelo 879;Herramientas Manuales;428.71;666.06;PowerFix;Profesional;Eléctrica;Madera;1/6/2024;Amarillo;Destornillador;;;
MaxPro SRL;262;007590009-2;Brocas Modelo 566;Fijaciones y Anclajes;68.16;118.56;Construtek;Profesional;Manual;Plástico;10/10/2024;Azul;Brocas;;;
Construmax;263;093818908-5;Guantes Modelo 843;Herramientas Eléctricas;423.41;793.89;BuildPro;Profesional;Medición;Aluminio;13/10/2024;Rojo;Guantes;;;
Construmax;264;667621962-X;Cinta métrica Modelo 892;Fijaciones y Anclajes;385.81;656.16;Construtek;Profesional;Medición;Aluminio;30/3/2024;Amarillo;Cinta métrica;;42.0;
Construmax;265;171387664-7;Cinta métrica Modelo 833;Herramientas Eléctricas;256.79;369.28;FerroMax;Profesional;Seguridad;Plástico;27/9/2024;Naranja;Cinta métrica;;;
MaxPro SRL;266;426832686-3;Espátula Modelo 427;Herramientas Manuales;383.36;665.54;FerroMax;Profesional;Neumática;Goma;26/9/2024;Negro;Espátula;;;
MaxPro SRL;267;931905770-2;Guantes Modelo 314;Equipos de Seguridad;329.73;603.88;HardyWorks;Profesional;Medición;Plástico;9/1/2024;Azul;Guantes;;;
Construmax;268;534295926-8;Guantes Modelo 155;Herramientas Eléctricas;117.46;233.82;Construtek;Hogar;Seguridad;Acero;16/3/2024;Verde;Guantes;;;
Construmax;269;568292740-0;Casco de seguridad Modelo 508;Herramientas Manuales;249.19;404.91;FerroMax;Hogar;Manual;Plástico;16/4/2024;Verde;Casco de seguridad;;43.0;
MaxPro SRL;270;002229060-5;Clavos Modelo 335;Herramientas Eléctricas;127.86;185.59;MegaTool;Profesional;Seguridad;Plástico;16/5/2024;Rojo;Clavos;;;
MaxPro SRL;271;799527410-6;Nivel Modelo 893;Herramientas Eléctricas;134.13;237.75;BuildPro;Hogar;Neumática;Plástico;29/3/2024;Gris;Nivel;;;
MaxPro SRL;272;580532482-2;Tornillos Modelo 297;Accesorios de Construcción;124.59;184.95;FerroMax;Hogar;Manual;Plástico;24/7/2024;Rojo;Tornillos;;;
MaxPro SRL;273;517642194-1;Destornillador Modelo 196;Equipos de Seguridad;17.22;32.85;TitanTools;Profesional;Seguridad;Madera;27/1/2024;Blanco;Destornillador;;;
MaxPro SRL;274;798902029-7;Brocas Modelo 698;Herramientas Eléctricas;402.5;663.75;BuildPro;Hogar;Manual;Acero;1/4/2024;Amarillo;Brocas;;;
Construmax;275;841448181-7;Tornillos Modelo 388;Herramientas Eléctricas;246.67;460.87;MegaTool;Profesional;Seguridad;Goma;14/8/2024;Rojo;Tornillos;;21.0;
Construmax;276;745013689-9;Brocas Modelo 990;Equipos de Seguridad;432.1;707.69;TitanTools;Profesional;Manual;Goma;1/11/2024;Blanco;Brocas;;;
Construmax;277;927224564-8;Destornillador Modelo 188;Equipos de Seguridad;482.06;866.56;PowerFix;Profesional;Manual;Madera;7/2/2024;Amarillo;Destornillador;;;
Construmax;278;649126192-1;Cutter Modelo 223;Herramientas Eléctricas;369.96;520.33;PowerFix;Hogar;Medición;Plástico;27/8/2024;Negro;Cutter;;;
Construmax;279;304987651-4;Guantes Modelo 382;Accesorios de Construcción;27.98;46.75;Structo;Profesional;Eléctrica;Acero;24/11/2024;Verde;Guantes;;;
MaxPro SRL;280;626407121-8;Cinta métrica Modelo 492;Herramientas Eléctricas;128.0;195.59;Structo;Hogar;Eléctrica;Goma;17/12/2024;Naranja;Cinta métrica;;;
Construmax;281;490848508-9;Nivel Modelo 745;Fijaciones y Anclajes;258.49;499.56;Renova;Profesional;Eléctrica;Acero;5/6/2024;Negro;Nivel;;;
Construmax;282;669312070-9;Brocas Modelo 253;Fijaciones y Anclajes;267.97;478.56;BuildPro;Hogar;Medición;Goma;13/8/2024;Naranja;Brocas;;;
Construmax;283;257416095-9;Guantes Modelo 431;Accesorios de Construcción;458.73;712.68;PowerFix;Hogar;Medición;Aluminio;27/9/2024;Negro;Guantes;;43.0;
Construmax;284;755920237-3;Clavos Modelo 750;Herramientas Manuales;240.31;466.82;PowerFix;Profesional;Medición;Madera;10/10/2024;Naranja;Clavos;;;
Construmax;285;839582008-9;Destornillador Modelo 299;Accesorios de Construcción;276.63;551.96;MegaTool;Profesional;Eléctrica;Madera;7/6/2024;Gris;Destornillador;;22.0;
Construmax;286;557105704-1;Sierra Modelo 701;Accesorios de Construcción;167.61;322.39;Renova;Hogar;Medición;Goma;15/10/2024;Negro;Sierra;;;
MaxPro SRL;287;928248090-9;Brocas Modelo 688;Fijaciones y Anclajes;420.36;827.28;FixMaster;Profesional;Seguridad;Goma;19/5/2024;Azul;Brocas;;;
Construmax;288;312849120-8;Cinta métrica Modelo 105;Herramientas Manuales;152.29;277.06;FerroMax;Hogar;Manual;Plástico;22/1/2024;Rojo;Cinta métrica;;8.0;
MaxPro SRL;289;495267393-6;Taladro Modelo 636;Equipos de Seguridad;355.14;551.45;Construtek;Profesional;Seguridad;Goma;12/11/2024;Rojo;Taladro;;;
MaxPro SRL;290;127604098-9;Pinza Modelo 989;Equipos de Seguridad;161.94;319.21;TitanTools;Hogar;Neumática;Aluminio;6/3/2024;Negro;Pinza;;;
MaxPro SRL;291;311063879-7;Brocas Modelo 513;Herramientas Manuales;390.1;586.75;Construtek;Profesional;Medición;Plástico;5/5/2024;Amarillo;Brocas;;10.0;
Construmax;292;871277353-0;Destornillador Modelo 884;Herramientas Manuales;96.2;123.22;TitanTools;Profesional;Medición;Acero;18/7/2024;Rojo;Destornillador;;19.0;
Construmax;293;808610343-9;Sierra Modelo 430;Equipos de Seguridad;433.22;561.03;HardyWorks;Profesional;Medición;Aluminio;14/2/2024;Negro;Sierra;;50.0;
Construmax;294;429740868-6;Tornillos Modelo 505;Herramientas Manuales;448.06;761.93;HardyWorks;Hogar;Neumática;Aluminio;3/9/2024;Blanco;Tornillos;;;
MaxPro SRL;295;196465960-4;Llave inglesa Modelo 878;Equipos de Seguridad;371.79;507.72;Structo;Profesional;Medición;Madera;19/8/2024;Gris;Llave inglesa;;;
MaxPro SRL;296;936691506-X;Cinta métrica Modelo 478;Accesorios de Construcción;270.71;394.73;HardyWorks;Hogar;Eléctrica;Madera;4/11/2024;Negro;Cinta métrica;;33.0;
Construmax;297;973357752-9;Nivel Modelo 789;Herramientas Manuales;48.57;88.25;MegaTool;Hogar;Seguridad;Madera;16/3/2024;Naranja;Nivel;;;
MaxPro SRL;298;997992076-9;Cinta métrica Modelo 266;Fijaciones y Anclajes;138.55;223.69;PowerFix;Profesional;Neumática;Acero;31/8/2024;Naranja;Cinta métrica;;;
Construmax;299;699949978-0;Clavos Modelo 893;Herramientas Eléctricas;90.88;139.53;TitanTools;Profesional;Manual;Plástico;18/2/2024;Blanco;Clavos;;;
MaxPro SRL;300;808934439-9;Nivel Modelo 476;Herramientas Eléctricas;175.76;215.23;Construtek;Profesional;Eléctrica;Goma;17/4/2024;Azul;Nivel;;;
Construmax;301;945158571-0;Espátula Modelo 535;Equipos de Seguridad;193.14;253.17;Construtek;Hogar;Neumática;Aluminio;13/7/2024;Verde;Espátula;;;
Construmax;302;409045606-1;Casco de seguridad Modelo 525;Herramientas Manuales;254.3;488.81;FerroMax;Profesional;Manual;Acero;20/10/2024;Blanco;Casco de seguridad;;38.0;
Construmax;303;399991862-4;Tornillos Modelo 603;Herramientas Eléctricas;72.58;98.71;FixMaster;Profesional;Manual;Aluminio;3/1/2024;Azul;Tornillos;;;
MaxPro SRL;304;204202973-4;Destornillador Modelo 546;Herramientas Eléctricas;188.43;369.58;BuildPro;Profesional;Neumática;Acero;20/9/2024;Gris;Destornillador;;;
Construmax;305;920504355-9;Casco de seguridad Modelo 366;Equipos de Seguridad;362.94;470.2;BuildPro;Profesional;Manual;Plástico;5/4/2024;Negro;Casco de seguridad;;43.0;
MaxPro SRL;306;867955890-7;Nivel Modelo 244;Herramientas Manuales;137.65;206.63;Construtek;Hogar;Eléctrica;Madera;1/5/2024;Gris;Nivel;;;
Construmax;307;848464650-5;Llave inglesa Modelo 439;Fijaciones y Anclajes;79.41;155.65;FerroMax;Profesional;Neumática;Aluminio;1/9/2024;Amarillo;Llave inglesa;;;
MaxPro SRL;308;844518930-1;Destornillador Modelo 990;Herramientas Manuales;220.06;384.1;Construtek;Hogar;Medición;Aluminio;22/6/2024;Azul;Destornillador;;37.0;
MaxPro SRL;309;849351561-2;Casco de seguridad Modelo 332;Equipos de Seguridad;138.6;239.57;Construtek;Hogar;Seguridad;Madera;8/3/2024;Negro;Casco de seguridad;;;
MaxPro SRL;310;108101142-4;Cutter Modelo 158;Herramientas Manuales;241.73;443.83;HardyWorks;Hogar;Neumática;Madera;1/4/2024;Naranja;Cutter;;;
MaxPro SRL;311;614259592-1;Llave inglesa Modelo 620;Equipos de Seguridad;197.81;313.94;FixMaster;Profesional;Neumática;Madera;23/9/2024;Blanco;Llave inglesa;;;
MaxPro SRL;312;558961829-0;Martillo Modelo 443;Herramientas Manuales;18.05;23.09;Construtek;Hogar;Medición;Plástico;11/4/2024;Naranja;Martillo;;;
Construmax;313;079467763-0;Nivel Modelo 846;Accesorios de Construcción;340.73;622.75;Construtek;Profesional;Neumática;Plástico;2/4/2024;Amarillo;Nivel;;;
Construmax;314;030235506-5;Pinza Modelo 263;Fijaciones y Anclajes;225.88;352.52;BuildPro;Profesional;Manual;Goma;26/10/2024;Negro;Pinza;;;
MaxPro SRL;315;883236553-7;Cinta métrica Modelo 543;Accesorios de Construcción;244.44;327.35;Structo;Profesional;Medición;Aluminio;2/8/2024;Gris;Cinta métrica;;17.0;
