empresa;codigoarticulo;codigoparticular;Talle;codigodeposito;Deposito;Stock;fechamodificacion
Emp1;93;477014506-3;5;2;02 - Shooping A;30;24/5/2024
Emp1;93;477014506-3;3;4;04 - Outleet;2;5/12/2023
Emp1;93;477014506-3;2;1;01 - Central;11;9/2/2024
Emp1;93;477014506-3;2;2;02 - Shooping A;58;12/4/2024
Emp1;93;477014506-3;2;3;03 - Shooping B;29;23/4/2024
Emp1;93;477014506-3;2;2;02 - Shooping A;10;11/3/2024
Emp1;93;477014506-3;3;1;01 - Central;41;4/2/2024
Emp1;93;477014506-3;3;2;02 - Shooping A;55;30/5/2024
Emp1;94;481374134-7;4;1;01 - Central;20;17/2/2024
Emp1;94;481374134-7;4;3;03 - Shooping B;20;1/3/2024
Emp1;94;481374134-7;5;4;04 - Outleet;22;4/4/2024
Emp1;95;997676172-4;3;4;04 - Outleet;5;27/1/2024
Emp1;95;997676172-4;3;2;02 - Shooping A;23;2/12/2023
Emp1;95;997676172-4;2;4;04 - Outleet;4;24/2/2024
Emp1;95;997676172-4;4;3;03 - Shooping B;57;15/1/2024
Emp1;95;997676172-4;3;2;02 - Shooping A;50;13/3/2024
Emp2;96;391943566-4;3;2;02 - Shooping A;31;9/3/2024
Emp2;96;391943566-4;4;1;01 - Central;60;31/12/2023
Emp2;96;391943566-4;5;3;03 - Shooping B;41;1/1/2024
Emp2;96;391943566-4;2;2;02 - Shooping A;17;6/4/2024
Emp2;96;391943566-4;2;3;03 - Shooping B;26;30/1/2024
Emp2;96;391943566-4;1;2;02 - Shooping A;38;6/5/2024
Emp2;97;013487401-3;1;4;04 - Outleet;19;16/5/2024
Emp2;97;013487401-3;4;3;03 - Shooping B;18;10/3/2024
Emp2;97;013487401-3;5;2;02 - Shooping A;39;7/2/2024
Emp2;98;657441081-9;4;2;02 - Shooping A;44;25/2/2024
Emp2;99;349194528-3;3;1;01 - Central;37;18/5/2024
Emp2;99;349194528-3;3;2;02 - Shooping A;14;20/2/2024
Emp2;99;349194528-3;5;4;04 - Outleet;28;27/2/2024
Emp2;99;349194528-3;3;4;04 - Outleet;58;29/1/2024
Emp2;100;540758732-7;1;2;02 - Shooping A;37;29/4/2024
Emp2;100;540758732-7;4;2;02 - Shooping A;27;5/3/2024
Emp2;101;302707164-5;4;4;04 - Outleet;38;12/5/2024
Emp2;101;302707164-5;1;2;02 - Shooping A;39;23/3/2024
Emp2;101;302707164-5;4;4;04 - Outleet;26;6/3/2024
Emp2;101;302707164-5;4;1;01 - Central;23;18/3/2024
Emp2;101;302707164-5;4;2;02 - Shooping A;28;31/1/2024
Emp1;102;366474344-X;4;4;04 - Outleet;24;2/3/2024
Emp1;102;366474344-X;3;3;03 - Shooping B;13;6/4/2024
Emp1;102;366474344-X;3;4;04 - Outleet;42;17/12/2023
Emp1;102;366474344-X;4;1;01 - Central;9;11/5/2024
Emp1;102;366474344-X;3;2;02 - Shooping A;19;21/12/2023
Emp2;103;615144230-X;2;4;04 - Outleet;31;23/1/2024
Emp2;103;615144230-X;4;4;04 - Outleet;9;25/2/2024
Emp2;103;615144230-X;1;3;03 - Shooping B;11;28/3/2024
Emp2;103;615144230-X;2;2;02 - Shooping A;25;27/5/2024
Emp1;104;458649133-7;3;2;02 - Shooping A;54;29/12/2023
Emp1;104;458649133-7;3;1;01 - Central;23;19/4/2024
Emp1;104;458649133-7;3;1;01 - Central;35;21/3/2024
Emp1;104;458649133-7;2;4;04 - Outleet;57;26/12/2023
Emp1;104;458649133-7;3;2;02 - Shooping A;32;29/1/2024
Emp2;105;907991669-2;2;3;03 - Shooping B;51;10/2/2024
Emp2;105;907991669-2;1;3;03 - Shooping B;39;13/2/2024
Emp2;105;907991669-2;3;1;01 - Central;9;6/3/2024
Emp2;105;907991669-2;3;4;04 - Outleet;54;20/4/2024
Emp2;106;791617075-2;2;1;01 - Central;23;28/2/2024
Emp2;106;791617075-2;1;4;04 - Outleet;49;21/3/2024
Emp2;106;791617075-2;2;4;04 - Outleet;60;8/2/2024
Emp2;106;791617075-2;3;4;04 - Outleet;9;14/4/2024
Emp2;106;791617075-2;2;4;04 - Outleet;40;13/5/2024
Emp2;106;791617075-2;3;2;02 - Shooping A;51;18/5/2024
Emp2;106;791617075-2;3;1;01 - Central;39;21/12/2023
Emp1;107;577229339-7;3;4;04 - Outleet;18;19/1/2024
Emp1;107;577229339-7;4;1;01 - Central;13;22/1/2024
Emp1;107;577229339-7;5;1;01 - Central;48;15/5/2024
Emp2;108;184088793-1;3;1;01 - Central;12;31/3/2024
Emp2;108;184088793-1;3;2;02 - Shooping A;35;29/12/2023
Emp2;108;184088793-1;3;2;02 - Shooping A;59;22/2/2024
Emp2;108;184088793-1;4;2;02 - Shooping A;11;20/3/2024
Emp2;108;184088793-1;5;1;01 - Central;7;31/3/2024
Emp1;109;884625998-X;3;4;04 - Outleet;6;3/12/2023
Emp1;109;884625998-X;3;4;04 - Outleet;34;10/2/2024
Emp1;109;884625998-X;5;4;04 - Outleet;52;16/1/2024
Emp1;109;884625998-X;3;3;03 - Shooping B;54;20/12/2023
Emp2;110;480336184-3;3;1;01 - Central;43;28/1/2024
Emp2;110;480336184-3;3;2;02 - Shooping A;44;5/4/2024
Emp2;110;480336184-3;4;2;02 - Shooping A;36;3/2/2024
Emp2;111;520043849-7;5;1;01 - Central;18;21/3/2024
Emp2;111;520043849-7;4;4;04 - Outleet;14;15/5/2024
Emp2;112;971963663-7;2;1;01 - Central;44;23/12/2023
Emp2;112;971963663-7;2;2;02 - Shooping A;52;4/1/2024
Emp2;112;971963663-7;2;4;04 - Outleet;32;27/1/2024
Emp2;112;971963663-7;4;2;02 - Shooping A;54;22/2/2024
Emp2;112;971963663-7;3;3;03 - Shooping B;47;22/1/2024
Emp2;112;971963663-7;1;2;02 - Shooping A;15;16/3/2024
Emp2;113;814007937-5;3;2;02 - Shooping A;7;21/1/2024
Emp2;113;814007937-5;2;4;04 - Outleet;20;3/1/2024
Emp1;114;760145298-0;3;2;02 - Shooping A;32;4/5/2024
Emp1;114;760145298-0;3;3;03 - Shooping B;57;5/2/2024
Emp1;114;760145298-0;3;3;03 - Shooping B;36;12/1/2024
Emp1;114;760145298-0;3;3;03 - Shooping B;39;7/12/2023
Emp1;114;760145298-0;4;2;02 - Shooping A;38;29/5/2024
Emp2;115;294717595-6;3;3;03 - Shooping B;42;13/4/2024
Emp2;115;294717595-6;1;2;02 - Shooping A;37;21/4/2024
Emp2;115;294717595-6;4;4;04 - Outleet;50;22/1/2024
Emp2;116;343631208-8;2;4;04 - Outleet;15;5/3/2024
Emp2;116;343631208-8;3;4;04 - Outleet;17;8/2/2024
Emp2;116;343631208-8;3;1;01 - Central;35;13/12/2023
Emp2;116;343631208-8;3;2;02 - Shooping A;52;11/4/2024
Emp2;116;343631208-8;4;3;03 - Shooping B;54;2/3/2024
Emp2;117;883371219-2;2;4;04 - Outleet;18;7/3/2024
Emp2;117;883371219-2;4;4;04 - Outleet;46;7/5/2024
Emp1;118;604371299-7;2;1;01 - Central;37;12/3/2024
Emp1;119;749744352-6;2;3;03 - Shooping B;48;20/1/2024
Emp1;119;749744352-6;3;2;02 - Shooping A;40;3/1/2024
Emp1;119;749744352-6;3;4;04 - Outleet;16;30/5/2024
Emp2;120;097135112-0;4;2;02 - Shooping A;22;24/2/2024
Emp1;121;518942872-9;3;3;03 - Shooping B;49;21/5/2024
Emp1;121;518942872-9;3;2;02 - Shooping A;9;17/5/2024
Emp1;121;518942872-9;3;2;02 - Shooping A;3;3/2/2024
Emp1;121;518942872-9;2;4;04 - Outleet;30;12/1/2024
Emp1;121;518942872-9;3;3;03 - Shooping B;37;23/3/2024
Emp1;121;518942872-9;5;4;04 - Outleet;31;30/12/2023
Emp1;121;518942872-9;2;4;04 - Outleet;29;14/2/2024
Emp1;121;518942872-9;1;2;02 - Shooping A;29;9/4/2024
Emp1;122;717154654-3;1;3;03 - Shooping B;57;3/3/2024
Emp1;123;159426197-0;4;2;02 - Shooping A;9;4/12/2023
Emp1;123;159426197-0;4;2;02 - Shooping A;12;26/1/2024
Emp1;123;159426197-0;2;2;02 - Shooping A;10;11/4/2024
Emp1;123;159426197-0;4;3;03 - Shooping B;2;18/4/2024
Emp1;123;159426197-0;2;2;02 - Shooping A;10;26/2/2024
Emp1;124;190687922-2;2;3;03 - Shooping B;6;21/2/2024
Emp1;124;190687922-2;1;3;03 - Shooping B;7;27/12/2023
Emp2;125;230872699-7;1;4;04 - Outleet;16;23/3/2024
Emp2;125;230872699-7;4;3;03 - Shooping B;16;10/3/2024
Emp2;125;230872699-7;2;4;04 - Outleet;15;12/5/2024
Emp2;125;230872699-7;4;4;04 - Outleet;34;8/1/2024
Emp2;126;880308809-1;5;4;04 - Outleet;60;3/2/2024
Emp2;126;880308809-1;2;3;03 - Shooping B;49;27/5/2024
Emp2;126;880308809-1;4;4;04 - Outleet;57;15/3/2024
Emp2;126;880308809-1;3;2;02 - Shooping A;57;21/1/2024
Emp2;126;880308809-1;3;4;04 - Outleet;60;30/12/2023
Emp2;126;880308809-1;1;3;03 - Shooping B;9;4/2/2024
Emp2;126;880308809-1;2;4;04 - Outleet;40;1/1/2024
Emp2;126;880308809-1;1;1;01 - Central;30;7/2/2024
Emp2;127;760389741-6;3;2;02 - Shooping A;34;17/2/2024
Emp2;127;760389741-6;4;1;01 - Central;34;19/5/2024
Emp2;127;760389741-6;2;3;03 - Shooping B;19;9/3/2024
Emp2;127;760389741-6;3;3;03 - Shooping B;33;27/12/2023
Emp2;127;760389741-6;2;2;02 - Shooping A;13;10/2/2024
Emp2;127;760389741-6;3;2;02 - Shooping A;33;16/12/2023
Emp2;127;760389741-6;1;4;04 - Outleet;43;13/3/2024
Emp2;128;863824440-1;1;4;04 - Outleet;39;18/5/2024
Emp2;128;863824440-1;1;3;03 - Shooping B;60;5/3/2024
Emp2;128;863824440-1;5;3;03 - Shooping B;45;21/4/2024
Emp1;129;237629715-X;2;2;02 - Shooping A;26;13/12/2023
Emp1;129;237629715-X;1;1;01 - Central;57;21/1/2024
Emp1;129;237629715-X;4;4;04 - Outleet;36;22/4/2024
Emp1;129;237629715-X;2;2;02 - Shooping A;2;18/1/2024
Emp1;129;237629715-X;3;4;04 - Outleet;51;1/12/2023
Emp1;129;237629715-X;2;3;03 - Shooping B;6;15/4/2024
Emp1;129;237629715-X;4;1;01 - Central;28;12/5/2024
Emp1;130;579716555-4;2;3;03 - Shooping B;18;14/12/2023
Emp1;130;579716555-4;4;2;02 - Shooping A;16;18/1/2024
Emp2;131;004249225-4;1;3;03 - Shooping B;25;8/12/2023
Emp2;132;561953327-1;3;3;03 - Shooping B;6;16/1/2024
Emp2;132;561953327-1;3;3;03 - Shooping B;3;14/2/2024
Emp2;132;561953327-1;4;3;03 - Shooping B;28;22/4/2024
Emp2;132;561953327-1;4;2;02 - Shooping A;38;23/12/2023
Emp2;132;561953327-1;3;2;02 - Shooping A;38;16/2/2024
Emp2;132;561953327-1;1;2;02 - Shooping A;57;7/2/2024
Emp1;133;879838545-3;3;3;03 - Shooping B;32;11/5/2024
Emp1;133;879838545-3;4;1;01 - Central;17;24/3/2024
Emp1;133;879838545-3;5;3;03 - Shooping B;34;20/1/2024
Emp1;133;879838545-3;4;4;04 - Outleet;40;7/4/2024
Emp1;134;517860029-0;3;4;04 - Outleet;5;24/5/2024
Emp1;134;517860029-0;5;2;02 - Shooping A;40;23/4/2024
Emp1;134;517860029-0;4;3;03 - Shooping B;43;10/5/2024
Emp1;134;517860029-0;2;2;02 - Shooping A;18;1/1/2024
Emp1;135;444936040-0;3;1;01 - Central;22;31/1/2024
Emp1;135;444936040-0;3;2;02 - Shooping A;8;20/4/2024
Emp2;137;086334507-7;3;1;01 - Central;52;10/2/2024
Emp2;138;659052907-8;2;2;02 - Shooping A;15;17/1/2024
Emp2;139;178032235-6;1;2;02 - Shooping A;45;16/1/2024
Emp2;139;178032235-6;3;1;01 - Central;41;13/2/2024
Emp2;139;178032235-6;2;3;03 - Shooping B;38;23/1/2024
Emp2;139;178032235-6;4;2;02 - Shooping A;11;29/2/2024
Emp1;140;350501066-9;3;3;03 - Shooping B;24;12/4/2024
Emp1;140;350501066-9;3;4;04 - Outleet;11;29/4/2024
Emp1;140;350501066-9;1;4;04 - Outleet;39;6/1/2024
Emp2;141;244819191-3;2;1;01 - Central;55;28/5/2024
Emp2;141;244819191-3;2;4;04 - Outleet;12;16/5/2024
Emp2;141;244819191-3;4;2;02 - Shooping A;2;4/12/2023
Emp1;142;050788543-0;4;3;03 - Shooping B;51;15/12/2023
Emp1;142;050788543-0;4;4;04 - Outleet;20;21/3/2024
Emp1;142;050788543-0;4;1;01 - Central;37;17/4/2024
Emp1;143;832950387-9;2;3;03 - Shooping B;12;14/4/2024
Emp1;143;832950387-9;4;4;04 - Outleet;11;14/4/2024
Emp1;143;832950387-9;3;4;04 - Outleet;34;25/2/2024
Emp1;143;832950387-9;2;2;02 - Shooping A;59;18/12/2023
Emp1;143;832950387-9;3;3;03 - Shooping B;14;5/2/2024
Emp1;143;832950387-9;5;2;02 - Shooping A;55;13/2/2024
Emp1;143;832950387-9;2;3;03 - Shooping B;8;14/1/2024
Emp1;143;832950387-9;3;4;04 - Outleet;41;3/3/2024
Emp1;144;585143601-8;3;2;02 - Shooping A;26;29/12/2023
Emp1;145;044560920-6;3;1;01 - Central;40;7/1/2024
Emp1;145;044560920-6;4;3;03 - Shooping B;56;18/12/2023
Emp1;145;044560920-6;1;4;04 - Outleet;19;7/3/2024
Emp1;145;044560920-6;5;3;03 - Shooping B;46;27/4/2024
Emp1;145;044560920-6;2;4;04 - Outleet;32;23/12/2023
Emp1;145;044560920-6;2;4;04 - Outleet;52;23/2/2024
Emp2;146;526164117-9;2;4;04 - Outleet;25;19/4/2024
Emp2;146;526164117-9;3;2;02 - Shooping A;35;23/4/2024
Emp2;146;526164117-9;4;1;01 - Central;55;17/2/2024
Emp2;147;140687974-6;4;4;04 - Outleet;40;25/5/2024
Emp2;147;140687974-6;4;4;04 - Outleet;30;18/5/2024
Emp2;147;140687974-6;2;1;01 - Central;53;24/5/2024
Emp2;148;255680021-6;1;3;03 - Shooping B;58;13/1/2024
Emp1;149;829647199-X;5;3;03 - Shooping B;8;2/4/2024
Emp1;149;829647199-X;2;2;02 - Shooping A;44;9/4/2024
Emp1;149;829647199-X;2;4;04 - Outleet;47;12/1/2024
Emp1;149;829647199-X;2;1;01 - Central;25;11/5/2024
Emp2;151;398560788-5;2;1;01 - Central;26;6/5/2024
Emp2;151;398560788-5;3;2;02 - Shooping A;57;3/5/2024
Emp2;152;299142165-7;3;2;02 - Shooping A;27;24/3/2024
Emp2;153;328426992-4;3;2;02 - Shooping A;31;22/2/2024
Emp2;153;328426992-4;5;2;02 - Shooping A;6;26/12/2023
Emp2;153;328426992-4;3;2;02 - Shooping A;55;4/3/2024
Emp2;154;366420383-6;2;1;01 - Central;22;16/1/2024
Emp2;154;366420383-6;4;3;03 - Shooping B;5;5/12/2023
Emp2;154;366420383-6;2;4;04 - Outleet;18;22/12/2023
Emp2;154;366420383-6;5;3;03 - Shooping B;35;29/3/2024
Emp2;154;366420383-6;3;4;04 - Outleet;51;1/5/2024
Emp2;154;366420383-6;3;2;02 - Shooping A;14;5/1/2024
Emp2;154;366420383-6;3;3;03 - Shooping B;34;1/4/2024
Emp2;154;366420383-6;3;4;04 - Outleet;39;15/5/2024
Emp1;155;126313707-5;2;3;03 - Shooping B;35;5/12/2023
Emp1;155;126313707-5;3;3;03 - Shooping B;40;13/1/2024
Emp1;155;126313707-5;3;3;03 - Shooping B;6;27/4/2024
Emp1;155;126313707-5;3;3;03 - Shooping B;29;24/4/2024
Emp1;155;126313707-5;1;2;02 - Shooping A;30;3/4/2024
Emp1;156;532058311-7;5;1;01 - Central;52;27/1/2024
Emp1;156;532058311-7;1;4;04 - Outleet;50;10/2/2024
Emp1;156;532058311-7;2;2;02 - Shooping A;2;13/1/2024
Emp1;156;532058311-7;2;3;03 - Shooping B;4;2/12/2023
Emp1;156;532058311-7;1;4;04 - Outleet;32;6/12/2023
Emp1;156;532058311-7;1;1;01 - Central;57;12/1/2024
Emp1;157;568877090-2;3;3;03 - Shooping B;56;5/4/2024
Emp1;157;568877090-2;2;2;02 - Shooping A;39;12/3/2024
Emp1;157;568877090-2;3;3;03 - Shooping B;9;24/3/2024
Emp1;158;286865959-4;3;2;02 - Shooping A;59;29/4/2024
Emp1;158;286865959-4;4;1;01 - Central;49;19/2/2024
Emp1;158;286865959-4;2;1;01 - Central;57;5/4/2024
Emp1;158;286865959-4;2;3;03 - Shooping B;14;15/5/2024
Emp1;158;286865959-4;2;2;02 - Shooping A;54;5/5/2024
Emp1;158;286865959-4;3;3;03 - Shooping B;26;30/4/2024
Emp1;159;111219021-X;4;4;04 - Outleet;9;26/5/2024
Emp1;159;111219021-X;5;1;01 - Central;43;1/5/2024
Emp1;159;111219021-X;4;3;03 - Shooping B;39;17/2/2024
Emp2;160;294112295-8;1;4;04 - Outleet;35;15/4/2024
Emp2;160;294112295-8;4;4;04 - Outleet;51;6/12/2023
Emp2;160;294112295-8;2;2;02 - Shooping A;17;21/5/2024
Emp2;161;265589120-1;5;4;04 - Outleet;13;11/2/2024
Emp2;161;265589120-1;3;4;04 - Outleet;47;2/1/2024
Emp2;161;265589120-1;2;2;02 - Shooping A;7;30/1/2024
Emp2;161;265589120-1;1;2;02 - Shooping A;47;13/5/2024
Emp2;161;265589120-1;3;4;04 - Outleet;3;24/2/2024
Emp2;163;416594853-5;5;4;04 - Outleet;48;7/4/2024
Emp2;163;416594853-5;5;2;02 - Shooping A;26;26/4/2024
Emp2;163;416594853-5;2;1;01 - Central;44;7/5/2024
Emp2;163;416594853-5;4;1;01 - Central;57;26/1/2024
Emp2;163;416594853-5;3;3;03 - Shooping B;49;30/12/2023
Emp2;163;416594853-5;1;4;04 - Outleet;3;28/1/2024
Emp2;163;416594853-5;2;1;01 - Central;4;8/12/2023
Emp2;163;416594853-5;3;2;02 - Shooping A;44;25/3/2024
Emp1;164;733253289-1;5;2;02 - Shooping A;50;3/1/2024
Emp1;164;733253289-1;4;4;04 - Outleet;23;12/4/2024
Emp1;164;733253289-1;2;3;03 - Shooping B;28;30/5/2024
Emp1;164;733253289-1;1;3;03 - Shooping B;59;13/12/2023
Emp2;165;089837862-1;4;3;03 - Shooping B;45;28/2/2024
Emp2;165;089837862-1;1;3;03 - Shooping B;11;29/4/2024
Emp1;166;811681489-3;2;4;04 - Outleet;13;28/4/2024
Emp1;166;811681489-3;2;2;02 - Shooping A;16;18/5/2024
Emp1;166;811681489-3;2;2;02 - Shooping A;40;21/3/2024
Emp1;166;811681489-3;5;1;01 - Central;41;30/1/2024
Emp2;167;904294916-3;4;4;04 - Outleet;13;30/1/2024
Emp2;167;904294916-3;1;3;03 - Shooping B;42;14/3/2024
Emp2;167;904294916-3;1;1;01 - Central;28;4/12/2023
Emp2;167;904294916-3;5;1;01 - Central;43;2/5/2024
Emp2;167;904294916-3;2;3;03 - Shooping B;44;15/1/2024
Emp2;167;904294916-3;3;2;02 - Shooping A;28;4/1/2024
Emp2;169;452127711-X;2;3;03 - Shooping B;10;28/4/2024
Emp2;169;452127711-X;3;2;02 - Shooping A;8;13/4/2024
Emp2;169;452127711-X;3;1;01 - Central;27;30/12/2023
Emp2;169;452127711-X;3;3;03 - Shooping B;10;6/3/2024
Emp1;170;090523587-8;4;4;04 - Outleet;57;2/1/2024
Emp1;170;090523587-8;5;4;04 - Outleet;51;7/12/2023
Emp1;170;090523587-8;1;3;03 - Shooping B;43;22/4/2024
Emp1;170;090523587-8;3;1;01 - Central;60;30/5/2024
Emp1;170;090523587-8;2;4;04 - Outleet;34;29/5/2024
Emp1;170;090523587-8;4;4;04 - Outleet;17;1/5/2024
Emp1;170;090523587-8;2;3;03 - Shooping B;28;2/5/2024
Emp1;170;090523587-8;4;3;03 - Shooping B;21;22/12/2023
Emp1;171;584235017-3;2;3;03 - Shooping B;3;3/5/2024
Emp1;171;584235017-3;3;3;03 - Shooping B;47;18/12/2023
Emp1;171;584235017-3;4;2;02 - Shooping A;19;12/4/2024
Emp1;171;584235017-3;4;1;01 - Central;11;26/1/2024
Emp1;171;584235017-3;2;4;04 - Outleet;35;10/2/2024
Emp1;171;584235017-3;4;2;02 - Shooping A;32;25/1/2024
Emp1;171;584235017-3;2;4;04 - Outleet;45;21/2/2024
Emp1;171;584235017-3;1;3;03 - Shooping B;58;23/2/2024
Emp1;171;584235017-3;1;3;03 - Shooping B;34;9/3/2024
Emp1;171;584235017-3;4;1;01 - Central;34;3/5/2024
Emp2;172;294637545-5;3;1;01 - Central;5;17/1/2024
Emp2;172;294637545-5;4;2;02 - Shooping A;17;27/4/2024
Emp2;173;683546279-5;4;1;01 - Central;17;22/12/2023
Emp2;173;683546279-5;2;1;01 - Central;16;29/5/2024
Emp2;173;683546279-5;3;3;03 - Shooping B;39;2/4/2024
Emp2;173;683546279-5;2;2;02 - Shooping A;58;2/1/2024
Emp1;174;560666449-6;4;2;02 - Shooping A;4;19/3/2024
Emp1;174;560666449-6;2;3;03 - Shooping B;13;30/1/2024
Emp1;174;560666449-6;4;4;04 - Outleet;12;23/5/2024
Emp1;174;560666449-6;1;2;02 - Shooping A;26;23/2/2024
Emp1;174;560666449-6;3;4;04 - Outleet;33;5/5/2024
Emp1;174;560666449-6;3;3;03 - Shooping B;6;29/1/2024
Emp1;174;560666449-6;3;3;03 - Shooping B;5;30/12/2023
Emp2;175;637016159-4;3;1;01 - Central;16;12/12/2023
Emp2;175;637016159-4;3;4;04 - Outleet;20;10/4/2024
Emp2;175;637016159-4;1;4;04 - Outleet;7;30/4/2024
Emp2;175;637016159-4;2;4;04 - Outleet;58;31/3/2024
Emp2;175;637016159-4;4;4;04 - Outleet;45;8/5/2024
Emp2;175;637016159-4;2;3;03 - Shooping B;56;26/12/2023
Emp2;175;637016159-4;3;4;04 - Outleet;19;11/2/2024
Emp2;175;637016159-4;4;3;03 - Shooping B;7;4/5/2024
Emp2;176;733531783-5;3;3;03 - Shooping B;58;14/1/2024
Emp2;176;733531783-5;4;2;02 - Shooping A;48;27/12/2023
Emp2;176;733531783-5;1;3;03 - Shooping B;49;3/1/2024
Emp2;176;733531783-5;3;4;04 - Outleet;51;26/1/2024
Emp2;176;733531783-5;2;1;01 - Central;25;10/4/2024
Emp2;176;733531783-5;2;1;01 - Central;23;3/1/2024
Emp1;177;180730720-4;4;3;03 - Shooping B;56;22/12/2023
Emp1;177;180730720-4;2;1;01 - Central;23;28/5/2024
Emp1;177;180730720-4;3;4;04 - Outleet;29;20/2/2024
Emp1;177;180730720-4;5;2;02 - Shooping A;44;15/1/2024
Emp1;177;180730720-4;1;1;01 - Central;4;10/1/2024
Emp1;179;076768216-5;4;4;04 - Outleet;2;19/4/2024
Emp1;179;076768216-5;4;1;01 - Central;6;5/3/2024
Emp1;179;076768216-5;3;3;03 - Shooping B;16;14/5/2024
Emp1;179;076768216-5;1;1;01 - Central;2;22/4/2024
Emp1;179;076768216-5;5;1;01 - Central;58;31/12/2023
Emp1;180;692162784-5;3;3;03 - Shooping B;50;30/4/2024
Emp1;180;692162784-5;4;4;04 - Outleet;27;28/2/2024
Emp1;180;692162784-5;1;1;01 - Central;54;27/4/2024
Emp1;180;692162784-5;5;1;01 - Central;56;30/1/2024
Emp2;181;782575938-9;4;3;03 - Shooping B;40;7/1/2024
Emp2;181;782575938-9;4;3;03 - Shooping B;2;19/4/2024
Emp1;182;958685479-5;5;4;04 - Outleet;49;6/12/2023
Emp1;182;958685479-5;5;4;04 - Outleet;57;2/3/2024
Emp1;182;958685479-5;2;4;04 - Outleet;26;18/4/2024
Emp2;183;817121714-1;3;3;03 - Shooping B;58;19/1/2024
Emp2;183;817121714-1;2;3;03 - Shooping B;46;6/5/2024
Emp1;184;244669424-1;3;1;01 - Central;9;24/1/2024
Emp1;184;244669424-1;1;1;01 - Central;40;19/3/2024
Emp1;184;244669424-1;3;2;02 - Shooping A;11;7/4/2024
Emp1;184;244669424-1;3;4;04 - Outleet;3;7/5/2024
Emp2;185;386884884-3;1;4;04 - Outleet;53;10/3/2024
Emp2;185;386884884-3;5;1;01 - Central;22;1/2/2024
Emp2;185;386884884-3;3;4;04 - Outleet;13;28/12/2023
Emp2;185;386884884-3;5;4;04 - Outleet;16;6/5/2024
Emp2;185;386884884-3;2;4;04 - Outleet;10;12/4/2024
Emp2;185;386884884-3;1;2;02 - Shooping A;19;13/2/2024
Emp2;185;386884884-3;1;4;04 - Outleet;37;15/3/2024
Emp2;185;386884884-3;4;1;01 - Central;60;28/3/2024
Emp2;185;386884884-3;3;1;01 - Central;44;23/3/2024
Emp2;185;386884884-3;5;2;02 - Shooping A;41;22/2/2024
Emp2;186;408419913-3;3;1;01 - Central;39;1/3/2024
Emp2;186;408419913-3;3;2;02 - Shooping A;54;25/4/2024
Emp2;187;078681284-2;3;1;01 - Central;44;19/2/2024
Emp2;187;078681284-2;4;1;01 - Central;12;9/1/2024
Emp2;187;078681284-2;3;4;04 - Outleet;20;12/2/2024
Emp2;187;078681284-2;1;4;04 - Outleet;8;3/1/2024
Emp2;188;823721074-3;2;3;03 - Shooping B;56;25/4/2024
Emp2;188;823721074-3;3;4;04 - Outleet;20;17/3/2024
Emp2;188;823721074-3;2;2;02 - Shooping A;31;27/4/2024
Emp2;188;823721074-3;2;3;03 - Shooping B;47;14/5/2024
Emp2;188;823721074-3;4;3;03 - Shooping B;57;20/1/2024
Emp2;188;823721074-3;5;3;03 - Shooping B;15;30/12/2023
Emp2;188;823721074-3;2;2;02 - Shooping A;47;7/2/2024
Emp2;188;823721074-3;3;4;04 - Outleet;37;21/2/2024
Emp2;188;823721074-3;2;4;04 - Outleet;30;7/12/2023
Emp2;188;823721074-3;5;1;01 - Central;39;18/2/2024
Emp2;189;857158547-4;2;3;03 - Shooping B;57;29/1/2024
Emp2;189;857158547-4;2;2;02 - Shooping A;20;4/3/2024
Emp1;190;872281501-5;4;1;01 - Central;54;13/1/2024
Emp1;190;872281501-5;3;1;01 - Central;59;2/3/2024
Emp1;190;872281501-5;5;1;01 - Central;23;25/1/2024
Emp2;191;726699571-X;3;1;01 - Central;42;21/12/2023
Emp2;191;726699571-X;1;1;01 - Central;30;9/1/2024
Emp2;192;866465702-5;1;1;01 - Central;37;26/4/2024
Emp2;192;866465702-5;5;3;03 - Shooping B;5;27/1/2024
Emp2;192;866465702-5;2;1;01 - Central;24;11/5/2024
Emp1;193;405845895-X;4;1;01 - Central;33;19/1/2024
Emp1;193;405845895-X;2;1;01 - Central;35;9/3/2024
Emp1;193;405845895-X;4;3;03 - Shooping B;32;21/12/2023
Emp1;193;405845895-X;3;4;04 - Outleet;59;17/5/2024
Emp1;193;405845895-X;4;4;04 - Outleet;22;30/1/2024
Emp1;193;405845895-X;3;1;01 - Central;33;3/5/2024
Emp1;193;405845895-X;2;2;02 - Shooping A;51;7/5/2024
Emp1;193;405845895-X;1;3;03 - Shooping B;19;10/5/2024
Emp1;194;273437459-5;3;1;01 - Central;26;20/2/2024
Emp1;194;273437459-5;2;1;01 - Central;53;9/1/2024
Emp1;195;193712548-3;5;4;04 - Outleet;48;13/4/2024
Emp1;195;193712548-3;3;4;04 - Outleet;8;13/2/2024
Emp1;195;193712548-3;3;1;01 - Central;41;6/12/2023
Emp1;195;193712548-3;3;1;01 - Central;22;13/4/2024
Emp1;195;193712548-3;3;4;04 - Outleet;48;31/12/2023
Emp1;196;907541846-9;5;3;03 - Shooping B;21;15/4/2024
Emp1;196;907541846-9;3;2;02 - Shooping A;5;15/4/2024
Emp1;196;907541846-9;3;2;02 - Shooping A;34;27/4/2024
